iter	Passed	Remaining
141	347	2099
142	348	2089
143	350	2081
144	351	2072
145	352	2064
146	354	2056
147	355	2048
148	357	2040
149	358	2031
150	359	2022
151	361	2014
152	362	2005
153	363	1998
154	365	1989
155	366	1981
156	367	1973
157	368	1964
158	370	1958
159	371	1951
160	373	1944
161	374	1936
162	375	1928
163	376	1921
164	378	1914
165	379	1907
166	380	1900
167	382	1892
168	383	1885
169	384	1878
170	386	1872
171	387	1865
172	388	1857
173	389	1850
174	391	1844
175	392	1837
176	393	1830
177	394	1824
178	396	1816
179	397	1810
180	398	1804
181	399	1797
182	401	1791
183	402	1786
184	404	1780
185	405	1774
186	406	1768
187	408	1762
188	409	1756
189	410	1750
190	412	1745
191	413	1739
192	414	1732
193	415	1727
194	417	1722
195	418	1717
196	419	1711
197	421	1705
198	422	1699
199	423	1694
200	424	1689
201	426	1683
202	427	1678
203	428	1672
204	430	1667
205	431	1663
206	432	1657
207	433	1651
208	435	1646
209	436	1641
210	437	1636
211	438	1631
212	440	1626
213	441	1621
214	442	1616
215	444	1611
216	445	1606
217	446	1602
218	447	1597
219	449	1592
220	450	1588
221	451	1583
222	453	1579
223	454	1574
224	455	1570
225	457	1566
226	458	1561
227	459	1556
228	461	1552
229	462	1548
230	463	1544
231	465	1539
232	466	1535
233	467	1530
234	468	1526
235	470	1522
236	471	1518
237	472	1514
238	474	1509
239	475	1505
240	476	1502
241	478	1498
242	479	1494
243	480	1489
244	482	1485
245	483	1481
246	484	1478
247	486	1474
248	487	1471
249	489	1467
250	490	1462
251	491	1459
252	492	1455
253	494	1451
254	495	1447
255	496	1443
256	497	1439
257	499	1435
258	500	1431
259	501	1427
260	502	1424
261	504	1420
262	505	1417
263	507	1413
264	508	1410
265	509	1407
266	511	1403
267	512	1400
268	514	1398
269	515	1395
270	517	1392
271	519	1389
272	520	1386
273	522	1383
274	523	1380
275	525	1377
276	526	1374
277	528	1371
278	529	1368
279	531	1366
280	532	1363
281	534	1360
282	536	1358
283	537	1355
284	539	1352
285	540	1349
286	542	1346
287	543	1343
288	545	1340
289	546	1338
290	548	1335
291	549	1333
292	551	1330
293	552	1327
294	554	1324
295	555	1322
296	557	1319
297	559	1316
298	560	1314
299	562	1311
300	563	1308
301	565	1306
302	566	1303
303	568	1300
304	569	1297
305	570	1294
306	572	1292
307	573	1289
308	574	1285
309	576	1282
310	577	1280
311	579	1278
312	581	1276
313	583	1273
314	584	1271
315	586	1268
316	587	1266
317	589	1263
318	590	1261
319	592	1258
320	593	1256
321	595	1253
322	597	1252
323	598	1249
324	600	1246
325	601	1243
326	603	1241
327	604	1239
328	606	1236
329	607	1233
330	609	1231
331	610	1229
332	612	1226
333	613	1224
334	615	1222
335	617	1219
336	618	1217
337	620	1214
338	621	1212
339	623	1210
340	625	1208
341	626	1205
342	627	1202
343	629	1200
344	631	1198
345	632	1195
346	634	1193
347	635	1191
348	637	1189
349	638	1186
350	640	1184
351	642	1182
352	643	1180
353	645	1177
354	646	1174
355	648	1172
356	649	1170
357	651	1168
358	652	1165
359	654	1162
360	655	1160
361	657	1158
362	658	1154
363	659	1152
364	661	1150
365	662	1147
366	664	1145
367	665	1142
368	666	1140
369	668	1137
370	669	1135
371	671	1133
372	672	1130
373	674	1128
374	675	1125
375	676	1123
376	678	1121
377	679	1118
378	681	1116
379	682	1113
380	684	1111
381	685	1108
382	687	1106
383	688	1104
384	690	1102
385	691	1099
386	692	1097
387	694	1094
388	695	1092
389	696	1090
390	698	1087
391	699	1085
392	701	1082
393	702	1080
394	703	1078
395	705	1075
396	706	1073
397	707	1070
398	709	1068
399	710	1065
400	711	1063
401	712	1060
402	713	1057
403	715	1055
404	716	1053
405	718	1050
406	719	1048
407	720	1046
408	722	1043
409	723	1041
410	725	1039
411	726	1036
412	727	1034
413	729	1032
414	730	1029
415	732	1027
416	733	1025
417	734	1023
418	736	1020
419	737	1018
420	738	1015
421	740	1013
422	741	1011
423	742	1009
424	744	1006
425	745	1004
426	747	1002
427	748	1000
428	750	998
429	751	996
430	752	993
431	754	992
432	756	989
433	757	987
434	758	985
435	760	983
436	761	981
437	763	979
438	764	977
439	766	975
440	767	973
441	769	971
442	770	968
443	771	966
444	773	964
445	774	962
446	776	960
447	777	957
448	778	955
449	780	953
450	781	951
451	782	949
452	784	946
453	785	944
454	786	942
455	788	940
456	789	937
457	790	935
458	791	933
459	793	931
460	794	929
461	795	926
462	797	924
463	798	922
464	799	920
465	801	918
466	802	916
467	803	913
468	805	911
469	806	909
470	807	907
471	809	905
472	810	902
473	811	900
474	812	898
475	814	896
476	815	894
477	817	892
478	818	890
479	819	887
480	821	886
481	822	883
482	823	881
483	825	879
484	826	877
485	827	875
486	829	873
487	830	871
488	831	869
489	833	867
490	834	865
491	836	863
492	837	861
493	838	859
494	840	857
495	841	855
496	842	853
497	844	850
498	845	848
499	846	846
500	848	844
501	849	842
502	850	840
503	851	838
504	853	836
505	854	834
506	856	832
507	857	830
508	858	828
509	860	826
510	861	824
511	862	822
512	864	820
513	865	818
514	866	816
515	868	814
516	869	812
517	871	810
518	872	808
519	874	806
520	875	805
521	876	803
522	878	801
523	879	798
524	881	797
525	882	795
526	883	793
527	884	791
528	886	789
529	887	787
530	889	785
531	890	783
532	891	781
533	892	779
534	894	777
535	895	775
536	896	773
537	897	771
538	899	769
539	900	767
540	902	765
541	903	763
542	904	761
543	905	759
544	907	757
545	908	755
546	909	753
547	911	751
548	912	749
549	913	747
550	914	745
551	916	743
552	917	741
553	918	739
554	920	737
555	921	735
556	922	733
557	924	731
558	925	730
559	926	728
560	927	726
561	929	724
562	930	722
563	931	720
564	933	718
565	934	716
566	935	714
567	937	712
568	938	710
569	939	709
570	941	707
571	942	705
572	943	703
573	944	701
574	946	699
575	947	697
576	948	695
577	950	693
578	951	691
579	952	689
580	954	687
581	955	686
582	956	684
583	958	682
584	959	680
585	960	678
586	962	677
587	963	675
588	964	673
589	965	671
590	967	669
591	968	667
592	969	665
593	971	663
594	972	661
595	973	660
596	975	658
597	976	656
598	977	654
599	979	652
600	980	651
601	982	649
602	983	647
603	984	645
604	986	643
605	987	642
606	988	640
607	990	638
608	991	636
609	992	634
610	994	633
611	995	631
612	996	629
613	997	627
614	999	625
615	1000	623
616	1002	621
617	1003	620
618	1004	618
619	1005	616
620	1007	614
621	1008	612
622	1009	611
623	1010	609
624	1012	607
625	1013	605
626	1014	603
627	1016	601
628	1017	600
629	1018	598
630	1020	596
631	1021	594
632	1022	593
633	1024	591
634	1025	589
635	1026	587
636	1028	586
637	1029	584
638	1031	582
639	1032	580
640	1033	579
641	1035	577
642	1036	575
643	1037	573
644	1038	571
645	1040	570
646	1041	568
647	1042	566
648	1044	564
649	1045	562
650	1046	561
651	1047	559
652	1049	557
653	1050	555
654	1051	553
655	1052	552
656	1054	550
657	1055	548
658	1056	546
659	1058	545
660	1059	543
661	1060	541
662	1061	539
663	1063	538
664	1064	536
665	1066	534
666	1067	532
667	1068	531
668	1070	529
669	1071	527
670	1072	526
671	1074	524
672	1075	522
673	1077	521
674	1078	519
675	1080	517
676	1081	516
677	1082	514
678	1084	512
679	1085	510
680	1087	509
681	1088	507
682	1089	505
683	1091	504
684	1092	502
685	1094	500
686	1095	499
687	1096	497
688	1098	495
689	1099	494
690	1101	492
691	1103	490
692	1104	489
693	1106	487
694	1107	485
695	1108	484
696	1110	482
697	1111	480
698	1113	479
699	1114	477
700	1115	475
701	1117	474
702	1118	472
703	1119	470
704	1121	469
705	1122	467
706	1123	465
707	1125	464
708	1126	462
709	1128	460
710	1130	459
711	1131	457
712	1132	455
713	1134	454
714	1135	452
715	1136	450
716	1138	449
717	1139	447
718	1141	445
719	1142	444
720	1144	442
721	1145	441
722	1146	439
723	1148	437
724	1149	436
725	1150	434
726	1152	432
727	1153	431
728	1155	429
729	1156	427
730	1157	426
731	1159	424
732	1160	422
733	1161	421
734	1163	419
735	1164	417
736	1165	416
737	1167	414
738	1168	412
739	1170	411
740	1171	409
741	1172	407
742	1174	406
743	1175	404
744	1177	402
745	1178	401
746	1179	399
747	1181	397
748	1182	396
749	1183	394
750	1185	392
751	1186	391
752	1188	389
753	1189	388
754	1190	386
755	1192	384
756	1193	383
757	1195	381
758	1196	379
759	1197	378
760	1199	376
761	1200	374
762	1201	373
763	1202	371
764	1204	369
765	1205	368
766	1207	366
767	1208	365
768	1209	363
769	1210	361
770	1212	360
771	1213	358
772	1214	356
773	1216	355
774	1217	353
775	1218	351
776	1220	350
777	1221	348
778	1222	346
779	1224	345
780	1225	343
781	1226	341
782	1227	340
783	1229	338
784	1230	337
785	1231	335
786	1233	333
787	1234	332
788	1235	330
789	1237	328
790	1238	327
791	1239	325
792	1241	323
793	1242	322
794	1243	320
795	1244	318
796	1245	317
797	1247	315
798	1248	314
799	1249	312
800	1251	310
801	1252	309
802	1253	307
803	1254	305
804	1256	304
805	1257	302
806	1258	301
807	1259	299
808	1261	297
809	1262	296
810	1263	294
811	1265	292
812	1266	291
813	1267	289
814	1268	288
815	1270	286
816	1271	284
817	1272	283
818	1274	281
819	1275	279
820	1276	278
821	1277	276
822	1279	275
823	1280	273
824	1281	271
825	1283	270
826	1284	268
827	1285	267
828	1286	265
829	1288	263
830	1289	262
831	1290	260
832	1291	258
833	1293	257
834	1294	255
835	1295	254
836	1297	252
837	1298	251
838	1299	249
839	1301	247
840	1302	246
841	1303	244
842	1304	243
843	1306	241
844	1307	239
845	1308	238
846	1310	236
847	1311	235
848	1312	233
849	1314	231
850	1315	230
851	1316	228
852	1318	227
853	1319	225
854	1321	224
855	1322	222
856	1323	220
857	1324	219
858	1326	217
859	1327	216
860	1328	214
861	1330	212
862	1331	211
863	1332	209
864	1333	208
865	1335	206
866	1336	205
867	1337	203
868	1339	201
869	1340	200
870	1341	198
871	1343	197
872	1344	195
873	1345	193
874	1346	192
875	1348	190
876	1349	189
877	1350	187
878	1351	186
879	1353	184
880	1354	182
881	1355	181
882	1357	179
883	1358	178
884	1359	176
885	1361	175
886	1362	173
887	1363	171
888	1364	170
889	1365	168
890	1367	167
891	1368	165
892	1369	164
893	1371	162
894	1372	161
895	1373	159
896	1374	157
897	1376	156
898	1377	154
899	1378	153
900	1379	151
901	1381	150
902	1382	148
903	1383	146
904	1385	145
905	1386	143
906	1387	142
907	1388	140
908	1390	139
909	1391	137
910	1392	136
911	1393	134
912	1394	132
913	1395	131
914	1397	129
915	1398	128
916	1399	126
917	1401	125
918	1402	123
919	1403	122
920	1405	120
921	1406	118
922	1407	117
923	1409	115
924	1410	114
925	1411	112
926	1413	111
927	1414	109
928	1416	108
929	1417	106
930	1418	105
931	1420	103
932	1421	102
933	1422	100
934	1424	98
935	1425	97
936	1426	95
937	1427	94
938	1429	92
939	1430	91
940	1431	89
941	1433	88
942	1434	86
943	1435	85
944	1436	83
945	1438	82
946	1439	80
947	1440	79
948	1442	77
949	1443	75
950	1444	74
951	1445	72
952	1447	71
953	1448	69
954	1450	68
955	1451	66
956	1452	65
957	1454	63
958	1455	62
959	1456	60
960	1458	59
961	1459	57
962	1461	56
963	1462	54
964	1464	53
965	1465	51
966	1466	50
967	1468	48
968	1469	47
969	1471	45
970	1472	43
971	1473	42
972	1475	40
973	1476	39
974	1477	37
975	1478	36
976	1480	34
977	1481	33
978	1482	31
979	1484	30
980	1485	28
981	1486	27
982	1487	25
983	1488	24
984	1490	22
985	1491	21
986	1492	19
987	1494	18
988	1495	16
989	1496	15
990	1498	13
991	1499	12
992	1500	10
993	1501	9
994	1503	7
995	1504	6
996	1505	4
997	1507	3
998	1508	1
999	1509	0
